
0.013775423704    SN.node[424].Communication.MAC           EVENT:POS | Node:424 | x:5000 | y:5000 | Type:Vehicle
0.013777623069    SN.node[474].Communication.MAC           EVENT:POS | Node:474 | x:5000 | y:5000 | Type:Vehicle
0.013832077337    SN.node[241].Communication.MAC           EVENT:POS | Node:241 | x:5000 | y:5000 | Type:Vehicle
0.013838395813    SN.node[441].Communication.MAC           EVENT:POS | Node:441 | x:5000 | y:5000 | Type:Vehicle
0.013866152451    SN.node[153].Communication.MAC           EVENT:POS | Node:153 | x:5000 | y:5000 | Type:Vehicle
0.013898875459    SN.node[96].Communication.MAC            EVENT:POS | Node:96 | x:5000 | y:5000 | Type:Vehicle
0.013924364198    SN.node[26].Communication.MAC            EVENT:POS | Node:26 | x:5000 | y:5000 | Type:Vehicle
0.013964730058    SN.node[344].Communication.MAC           EVENT:POS | Node:344 | x:5000 | y:5000 | Type:Vehicle
0.014170368597    SN.node[193].Communication.MAC           EVENT:POS | Node:193 | x:5000 | y:5000 | Type:Vehicle
0.014174393028    SN.node[94].Communication.MAC            EVENT:POS | Node:94 | x:5000 | y:5000 | Type:Vehicle
0.014176254312    SN.node[40].Communication.MAC            EVENT:POS | Node:40 | x:5000 | y:5000 | Type:Vehicle
0.014184472488    SN.node[401].Communication.MAC           EVENT:POS | Node:401 | x:5000 | y:5000 | Type:Vehicle
0.014315206417    SN.node[325].Communication.MAC           EVENT:POS | Node:325 | x:5000 | y:5000 | Type:Vehicle
0.014352488238    SN.node[328].Communication.MAC           EVENT:POS | Node:328 | x:5000 | y:5000 | Type:Vehicle
0.014543622278    SN.node[282].Communication.MAC           EVENT:POS | Node:282 | x:5000 | y:5000 | Type:Vehicle
0.014545237179    SN.node[4].Communication.MAC             EVENT:POS | Node:4 | x:5000 | y:5000 | Type:Vehicle
0.01458963867     SN.node[86].Communication.MAC            EVENT:POS | Node:86 | x:5000 | y:5000 | Type:Vehicle
0.014667725691    SN.node[417].Communication.MAC           EVENT:POS | Node:417 | x:5000 | y:5000 | Type:Vehicle
0.01473467464     SN.node[496].Communication.MAC           EVENT:POS | Node:496 | x:5000 | y:5000 | Type:Vehicle
0.01492034269     SN.node[217].Communication.MAC           EVENT:POS | Node:217 | x:5000 | y:5000 | Type:Vehicle
0.015113180677    SN.node[133].Communication.MAC           EVENT:POS | Node:133 | x:5000 | y:5000 | Type:Vehicle
0.015124914573    SN.node[321].Communication.MAC           EVENT:POS | Node:321 | x:5000 | y:5000 | Type:Vehicle
0.015234321402    SN.node[378].Communication.MAC           EVENT:POS | Node:378 | x:5000 | y:5000 | Type:Vehicle
0.015306364814    SN.node[399].Communication.MAC           EVENT:POS | Node:399 | x:5000 | y:5000 | Type:Vehicle
0.015318031352    SN.node[41].Communication.MAC            EVENT:POS | Node:41 | x:5000 | y:5000 | Type:Vehicle
0.015318176581    SN.node[52].Communication.MAC            EVENT:POS | Node:52 | x:5000 | y:5000 | Type:Vehicle
0.015384186408    SN.node[289].Communication.MAC           EVENT:POS | Node:289 | x:5000 | y:5000 | Type:Vehicle
0.015498081734    SN.node[303].Communication.MAC           EVENT:POS | Node:303 | x:5000 | y:5000 | Type:Vehicle
0.015690955601    SN.node[300].Communication.MAC           EVENT:POS | Node:300 | x:5000 | y:5000 | Type:Vehicle
0.015732649713    SN.node[342].Communication.MAC           EVENT:POS | Node:342 | x:5000 | y:5000 | Type:Vehicle
0.015788362419    SN.node[79].Communication.MAC            EVENT:POS | Node:79 | x:5000 | y:5000 | Type:Vehicle
0.015814226679    SN.node[119].Communication.MAC           EVENT:POS | Node:119 | x:5000 | y:5000 | Type:Vehicle
0.015974751755    SN.node[137].Communication.MAC           EVENT:POS | Node:137 | x:5000 | y:5000 | Type:Vehicle
0.016265308856    SN.node[63].Communication.MAC            EVENT:POS | Node:63 | x:5000 | y:5000 | Type:Vehicle
0.016290358046    SN.node[128].Communication.MAC           EVENT:POS | Node:128 | x:5000 | y:5000 | Type:Vehicle
0.016313200269    SN.node[485].Communication.MAC           EVENT:POS | Node:485 | x:5000 | y:5000 | Type:Vehicle
0.016478567896    SN.node[169].Communication.MAC           EVENT:POS | Node:169 | x:5000 | y:5000 | Type:Vehicle
0.016992433194    SN.node[124].Communication.MAC           EVENT:POS | Node:124 | x:5000 | y:5000 | Type:Vehicle
0.017000296257    SN.node[277].Communication.MAC           EVENT:POS | Node:277 | x:5000 | y:5000 | Type:Vehicle
0.017034424189    SN.node[276].Communication.MAC           EVENT:POS | Node:276 | x:5000 | y:5000 | Type:Vehicle
